"id";"origination_date";"balance";"product";"region";"repayment_date"
1;"2012-09-20";3217;"Super Loan";"East";""
2;"2012-04-26";6673;"Super Loan";"East";""
3;"2012-07-08";1869;"Super Loan";"East";"2012-12-18"
4;"2012-05-10";2798;"Giga Loan";"West";"2012-10-12"
5;"2012-04-15";3600;"Super Loan";"North";"2012-12-23"
6;"2012-06-17";1026;"Super Loan";"North";""
7;"2012-12-14";1111;"Super Loan";"North";""
8;"2012-11-29";8270;"Giga Loan";"East";"2012-12-22"
9;"2012-11-02";4748;"Super Loan";"East";"2012-12-05"
10;"2012-03-09";5110;"Mega Loan";"East";""
11;"2012-01-07";1822;"Super Loan";"East";"2012-10-07"
12;"2012-09-13";7983;"Super Loan";"East";""
13;"2012-04-16";7442;"Giga Loan";"South";""
14;"2012-01-11";1465;"Giga Loan";"West";"2012-06-23"
15;"2012-08-01";7549;"Super Loan";"South";"2012-12-24"
16;"2012-02-18";7818;"Super Loan";"South";""
17;"2012-01-17";7963;"Giga Loan";"North";""
18;"2012-11-02";6915;"Super Loan";"East";""
19;"2012-05-15";2278;"Mega Loan";"West";""
20;"2012-03-20";7074;"Mega Loan";"West";""
21;"2012-02-28";5560;"Mega Loan";"West";"2012-09-23"
22;"2012-08-10";3309;"Super Loan";"East";""
23;"2012-03-12";3544;"Giga Loan";"West";"2012-08-11"
24;"2012-11-02";2498;"Super Loan";"South";""
25;"2012-01-28";1562;"Mega Loan";"East";""
26;"2012-02-27";9707;"Super Loan";"East";""
27;"2012-10-14";8797;"Giga Loan";"North";""
28;"2012-11-27";5923;"Mega Loan";"South";""
29;"2012-11-23";8503;"Super Loan";"North";"2012-12-29"
30;"2012-07-15";1899;"Super Loan";"East";""
31;"2012-11-19";7263;"Mega Loan";"East";""
32;"2012-10-11";1720;"Super Loan";"West";""
33;"2012-02-12";7572;"Giga Loan";"West";"2012-08-28"
34;"2012-06-26";8133;"Giga Loan";"North";""
35;"2012-10-21";3519;"Giga Loan";"North";""
36;"2012-02-21";1172;"Super Loan";"North";"2012-12-19"
37;"2012-05-18";8159;"Mega Loan";"East";""
38;"2012-01-27";3630;"Mega Loan";"East";"2012-08-08"
39;"2012-04-06";8442;"Giga Loan";"West";"2012-12-06"
40;"2012-08-08";2907;"Giga Loan";"West";""
41;"2012-12-05";7740;"Giga Loan";"West";""
42;"2012-06-03";9265;"Giga Loan";"East";""
43;"2012-08-12";9891;"Mega Loan";"South";""
44;"2012-10-15";5181;"Super Loan";"West";""
45;"2012-04-05";9730;"Mega Loan";"South";""
46;"2012-12-26";7439;"Giga Loan";"East";""
47;"2012-12-28";2999;"Giga Loan";"West";""
48;"2012-01-27";7693;"Mega Loan";"West";"2012-03-02"
49;"2012-05-17";4353;"Super Loan";"West";""
50;"2012-08-02";4278;"Mega Loan";"North";"2012-08-29"
51;"2012-04-03";4766;"Super Loan";"West";"2012-10-17"
52;"2012-02-21";8914;"Mega Loan";"North";""
53;"2012-06-20";6587;"Super Loan";"West";""
54;"2012-03-15";7311;"Giga Loan";"North";"2012-10-13"
55;"2012-02-13";1411;"Giga Loan";"West";"2012-10-29"
56;"2012-01-23";7149;"Super Loan";"East";""
57;"2012-07-25";7017;"Giga Loan";"West";"2012-10-09"
58;"2012-10-04";9208;"Super Loan";"East";""
59;"2012-10-21";3071;"Super Loan";"North";""
60;"2012-09-07";5520;"Mega Loan";"East";""
61;"2012-11-13";1107;"Mega Loan";"West";""
62;"2012-03-17";9335;"Giga Loan";"West";"2012-11-20"
63;"2012-06-06";6240;"Super Loan";"East";""
64;"2012-12-16";7680;"Super Loan";"North";"2012-12-28"
65;"2012-10-31";7467;"Super Loan";"North";""
66;"2012-12-25";8759;"Mega Loan";"West";""
67;"2012-04-08";7852;"Super Loan";"East";""
68;"2012-09-18";5626;"Mega Loan";"South";""
69;"2012-05-01";2388;"Super Loan";"East";""
70;"2012-06-17";6294;"Mega Loan";"South";""
71;"2012-09-21";7534;"Giga Loan";"West";""
72;"2012-06-28";9129;"Super Loan";"South";"2012-08-19"
73;"2012-12-30";5559;"Giga Loan";"North";""
74;"2012-06-17";7424;"Mega Loan";"South";""
75;"2012-10-16";4310;"Super Loan";"South";""
76;"2012-11-13";5289;"Mega Loan";"West";""
77;"2012-10-22";4862;"Mega Loan";"North";""
78;"2012-07-07";6309;"Mega Loan";"West";""
79;"2012-05-09";2981;"Giga Loan";"West";""
80;"2012-01-17";8215;"Mega Loan";"East";""
81;"2012-01-07";9588;"Giga Loan";"North";""
82;"2012-04-08";6748;"Giga Loan";"North";""
83;"2012-02-24";7129;"Mega Loan";"South";"2012-12-26"
84;"2012-01-06";6174;"Giga Loan";"North";""
85;"2012-11-24";4058;"Mega Loan";"South";""
86;"2012-12-03";7541;"Mega Loan";"South";""
87;"2012-12-27";3323;"Giga Loan";"West";""
88;"2012-11-26";1075;"Super Loan";"South";""
89;"2012-08-28";6749;"Giga Loan";"East";""
90;"2012-10-14";5395;"Giga Loan";"East";""
91;"2012-07-02";5595;"Super Loan";"East";""
92;"2012-02-09";6856;"Super Loan";"East";""
93;"2012-09-23";4729;"Giga Loan";"East";""
94;"2012-07-18";1835;"Giga Loan";"North";""
95;"2012-02-03";4536;"Giga Loan";"South";""
96;"2012-04-05";2196;"Giga Loan";"West";""
97;"2012-08-11";9594;"Mega Loan";"North";"2012-10-25"
98;"2012-05-22";2387;"Super Loan";"East";"2012-11-07"
99;"2012-07-04";6823;"Mega Loan";"South";""
100;"2012-03-26";1982;"Super Loan";"South";"2012-07-17"
101;"2012-11-15";7682;"Giga Loan";"North";""
102;"2012-01-10";4356;"Giga Loan";"West";"2012-11-12"
103;"2012-07-25";1110;"Giga Loan";"East";"2012-12-20"
104;"2012-11-05";3241;"Super Loan";"South";""
105;"2012-04-15";1779;"Mega Loan";"South";"2012-09-26"
106;"2012-09-01";4421;"Super Loan";"East";""
